"SMP","X","Y","RAMA","SUBRAMA"
"022-020-024",-58.4000232437188,-34.6208197673705,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"022-021-016",-58.4007504054387,-34.6195873853658,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"022-028-008",-58.399802970465,-34.6198151846593,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"022-029-001A",-58.3990997589518,-34.6187508024935,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"022-029-009B",-58.3998753787645,-34.6188303461867,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"022-029-024A",-58.3991593373803,-34.6194964284173,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"022-037-011B",-58.3987861716107,-34.6187575187726,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-058-011",-58.4083922409908,-34.6274526065894,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"022-006-020B",-58.4020715779735,-34.6233965730355,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-009-006",-58.4271911843317,-34.6222543313955,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-009-015",-58.4272588528697,-34.6228461071392,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-009-022",-58.4272894403907,-34.6233932280827,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-039-010",-58.4247288113797,-34.6219217418024,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-005-007C",-58.4262500158902,-34.6278104915513,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-006-017",-58.4265900578308,-34.6267702866928,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-006-022",-58.42612343839,-34.6265846499395,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-006-025A",-58.4257894381865,-34.6266188179152,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-007-009A",-58.4268719679361,-34.6252844331117,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-007-018",-58.4267831748846,-34.6259190899626,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-008-002",-58.4265975786682,-34.6236924359068,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-008-014",-58.42696070266,-34.624266571648,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-008-021A",-58.4269909475759,-34.624925529267,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-008-027",-58.4265443695151,-34.6248560385218,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-008-030",-58.4262603280482,-34.6248345884682,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-020A-001",-58.4242264101226,-34.626866252167,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-020A-012",-58.4252041725875,-34.6270314799897,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-021-011",-58.425508220026,-34.6260166521487,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-021-017",-58.425438254258,-34.62658420455,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-023-030",-58.4254534174452,-34.6246531421117,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-023-032",-58.4252546900534,-34.6246999994961,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-023-038",-58.4246901201773,-34.6247268695258,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-036A-001A",-58.4229821009906,-34.6266077767507,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-036A-009",-58.4239388722018,-34.6267884078114,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-038-029",-58.4244126522822,-34.6247841115775,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-055-007A",-58.4223547363781,-34.623699055401,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-056B-020",-58.4226461215097,-34.6228243786437,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-071-008",-58.4214469571847,-34.6244941138488,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-072-017",-58.4210360020744,-34.6238761829661,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-073-028",-58.4215780361821,-34.6220587358156,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-094-001",-58.4195630668814,-34.6214003712633,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-094-023",-58.4203535159932,-34.6226545708406,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-009-022",-58.4159765770627,-34.6234382330001,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-010-011",-58.4162605819048,-34.6211289567828,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-010-012",-58.4162506439624,-34.6212530803124,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-010-015",-58.4160324677407,-34.6215226943365,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"030-019-017",-58.414642725301,-34.6215214870185,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-019-023A",-58.4148142216093,-34.6220098810668,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-019-023B",-58.4147991344243,-34.6221141663124,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-109-010A",-58.4191403247273,-34.6228311085037,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-127-003",-58.4168382309213,-34.6235568979606,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-127-032",-58.4167528512989,-34.6240253473457,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-128-032A",-58.4165673802329,-34.6232685362812,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-128-034",-58.4165688436483,-34.6231724525193,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-128-035",-58.4166722895402,-34.6231005319352,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-128-038",-58.4168392719123,-34.6228761343647,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-129-001A",-58.4167274125153,-34.6212183355821,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-129-035",-58.416648214312,-34.6223522529589,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-007-013",-58.4158972044279,-34.6247943333107,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-007-021",-58.4155078500213,-34.6250676709175,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-007-024",-58.4152219782758,-34.6250431598653,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-026-031",-58.4124064932378,-34.6247527715423,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-026-031",-58.4124064932378,-34.6247527715423,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-052-008",-58.4228389199586,-34.6256257862439,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-053-001",-58.4219925454567,-34.6249472662702,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-053-006",-58.4224304749899,-34.6251815311359,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-053-010",-58.4229013502451,-34.6250466608055,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-070-030C",-58.4204487606433,-34.6257959721149,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-092-001",-58.4192232760341,-34.6248795431217,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-092-009",-58.4200695133073,-34.6249000062796,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-092-021",-58.4201427686496,-34.6258009432238,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-108-012",-58.4189268856039,-34.6247303786521,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-108-022",-58.4186112231772,-34.6255612970771,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-126-001A",-58.416456732784,-34.6243509700407,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-126-014",-58.4175763407151,-34.6247029807302,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-126-022C",-58.4174908074294,-34.6254159782114,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-126-030",-58.4166978853543,-34.6252292826582,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-126-032A",-58.4164073933255,-34.6252803574758,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-126-040",-58.4165094786666,-34.6246281535493,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-023-001",-58.4120873097079,-34.6277321861524,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-025-012B",-58.4133922376802,-34.6253227598626,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-003-006",-58.4151286682891,-34.6291770162865,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-003-033A",-58.4149982335999,-34.629466835566,"HOTELERIA Y GASTRONOMIA","HOTELERIA"
"030-006-002",-58.4149199747126,-34.6254938865871,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-006-011",-58.4158807649937,-34.6256321709365,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"030-006-036",-58.4148072862218,-34.6265180676632,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-122-017",-58.4162655618431,-34.6300488456525,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-124-011D",-58.4172240200156,-34.6272421302206,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-125-001",-58.4163085582557,-34.6256797462446,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-087-018B",-58.4179219043586,-34.6314217742908,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-090-001",-58.4186398799234,-34.6273909744184,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-091-025",-58.4198413191141,-34.6272633635999,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-103-011",-58.4175947578508,-34.6305634500103,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-107-004",-58.4184667393425,-34.6260144694502,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-107-007",-58.4186287965104,-34.6260967925531,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-051A-003",-58.4217757678248,-34.6265456570722,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-051A-011A",-58.422607244282,-34.6265513302261,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-051B-001",-58.4216612090891,-34.6269665227454,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-051B-024",-58.4216177486148,-34.6271171334119,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-067-025C",-58.4196612113375,-34.6291759032206,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-068-015",-58.4208490099984,-34.6281587074068,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-069-027",-58.4205773601154,-34.6272054758005,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"036-001-010",-58.4253712646138,-34.6317964359378,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-002-010",-58.4257255444317,-34.6305152897677,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-004-009",-58.4261810194797,-34.6284068212908,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-004-011",-58.426149173792,-34.628576916111,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-032-011",-58.4229129160894,-34.6312490742004,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-065-008",-58.4200719014143,-34.630999796243,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"036-065-026B",-58.41932985454,-34.6315544384735,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-137A-003",-58.4230323985173,-34.6337635367255,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-137A-006",-58.4238123907599,-34.6347346278361,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-137A-011",-58.4248600700052,-34.6339505537548,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-137A-029",-58.423167148409,-34.6359495540458,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-139-030",-58.4240683984442,-34.6334609220938,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-152-001A",-58.4229915612815,-34.6323179283832,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-152-028",-58.4234700607969,-34.6332655480443,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-152-034",-58.4228310586059,-34.6333211556015,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-166-021",-58.422074552522,-34.6345498949591,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-167-023",-58.4223959447038,-34.6332880354549,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-184-012",-58.4212014801191,-34.6325854778318,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"038-185-001",-58.4193498772991,-34.6319488711593,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-185-030",-58.4194374330445,-34.6329973546478,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-202-001",-58.4179982714541,-34.6331441882388,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-203-011A",-58.41883356201,-34.6324055602029,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"038-204-001",-58.4179291283465,-34.6318111250405,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"032-037-023",-58.4158947091209,-34.6338472596382,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"032-039-017B",-58.4158387772154,-34.6324775474663,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"032-040-031",-58.4131465877187,-34.6319326910696,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-215-001",-58.4162358268283,-34.6329325961867,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-216-001",-58.4162039598036,-34.6316057960496,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-216-017",-58.4162688694012,-34.6326538853577,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"032-046-015",-58.4128451882931,-34.6334387646539,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"032-046-028",-58.4123762264104,-34.6348824853041,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-210-032",-58.4164301613532,-34.6359966037017,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-135-014",-58.4238716280835,-34.6378722403411,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-146-006",-58.4218074106786,-34.6390789701107,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-162-020",-58.4206032386055,-34.6376613048289,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-177-019",-58.4191283826878,-34.6391112949972,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-179-003N",-58.4193524216119,-34.6370673799138,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-208-001",-58.4164539288482,-34.6373266348798,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-208-023",-58.4168103864257,-34.6375872984493,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-219-012",-58.4169932392418,-34.6388577506974,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-219-025A",-58.4162529581522,-34.6384071254106,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"032-026-030",-58.4159470144324,-34.6376159169728,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"032-027-030B",-58.4135313579573,-34.6382622674175,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"032-028-036C",-58.4118377980019,-34.6380102799783,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"032-029-018",-58.4131420947965,-34.6367929973801,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"032-043-014A",-58.4114695742924,-34.6379361477295,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"032-039-017C",-58.4158304393412,-34.6325868054211,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"038-137A-066",-58.4223531711587,-34.6349623517746,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"085-034B-001A",-58.5024394809619,-34.6250426118775,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-085B-001",-58.4982952944502,-34.6216007938054,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-093-001",-58.496043110253,-34.6233449532756,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-094-001",-58.4971412737881,-34.6224377269337,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-094-017",-58.4964355325019,-34.6230372940436,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-031-018",-58.5010885734305,-34.6278823394688,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-001-016",-58.501042639476,-34.6319588698434,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-001-029",-58.4999438404256,-34.6314904930661,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-002-016",-58.5016128122693,-34.6314988295625,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-003B-008",-58.5028453890212,-34.6306378260152,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-016-029A",-58.4997601661969,-34.6292439949014,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-027B-018",-58.4972584528558,-34.6305902192117,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-028A-018",-58.4981496783256,-34.6299973001001,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-029-020",-58.499008010139,-34.6294240572148,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-076-026",-58.4945352650901,-34.6290617996644,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-078-001",-58.4966527437206,-34.6279074753718,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-088A-014I",-58.4932399679531,-34.6282072189774,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-101-005",-58.4916450431904,-34.6271104404692,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-102-001B",-58.491688553142,-34.6267146686697,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-073-001",-58.4902388340095,-34.6279069232087,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-073-027",-58.4896955162892,-34.6283531532149,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-100-001",-58.4910265997981,-34.6272653320756,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"085-100-022",-58.4907307474632,-34.6275697802888,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-010-008",-58.4975454906355,-34.6334399804048,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-028A-001",-58.4956201740247,-34.630334429484,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-033B-001",-58.4936464623164,-34.6306854813742,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-054-020C",-58.4923503893033,-34.6313063066356,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-063-009A",-58.4898747580941,-34.6304833003381,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-070-030",-58.4875803569977,-34.6301268770768,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-071-002",-58.4881874934887,-34.6297136071045,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-072-024",-58.4884368442267,-34.6293793427734,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-066-005B",-58.4851864255129,-34.6340029106967,"HOTELERIA Y GASTRONOMIA","HOTELERIA"
"077-066-014F",-58.4850606433399,-34.6343071240549,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-067-017A",-58.4859322041924,-34.6326535885744,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-074-010C",-58.484145079971,-34.634161949634,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-074-011",-58.4840522874187,-34.6341411381903,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-075-001",-58.4847952395572,-34.6322129163322,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-075-015C",-58.4838956852578,-34.6330023436854,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-044-012",-58.487949145516,-34.6347091992417,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-044-013G",-58.4876770641351,-34.6349208939379,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-044-019",-58.4870369731317,-34.6348251301869,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-047-030",-58.4889815696509,-34.6330880766823,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"077-069-001A",-58.486895235059,-34.63056846917,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-017-013",-58.4969145115926,-34.6338489377271,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-032A-016",-58.4931386836351,-34.6329163091908,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-029-015",-58.4929325113328,-34.6362602099462,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-035C-011",-58.4920499674942,-34.635991154379,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-035C-016",-58.4916067696533,-34.635831947345,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-042-016C",-58.4893415989975,-34.635358041914,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-042-025",-58.4885226000611,-34.6350922560586,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-042-026",-58.4884135040667,-34.6351211593716,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-042-028",-58.4882204674332,-34.6351024878702,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-030-008",-58.4929829957849,-34.6367203236121,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-081-001A",-58.4894784889947,-34.6360034061765,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-081-002",-58.4896348862919,-34.6359749232666,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-081-011",-58.4904768609131,-34.6361205356466,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-081-037",-58.4894417063299,-34.6367637939912,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-136-004",-58.4826342801097,-34.6344653603903,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-082B-023",-58.48779709339,-34.641101031024,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-085-001B",-58.4878674336232,-34.6355387543423,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-085-004",-58.4882436956951,-34.6357974689713,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-085-005",-58.4883352687119,-34.6358152603642,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"054-085-013C",-58.4892067519591,-34.6358929844345,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-085-016",-58.4888597499307,-34.6363323263131,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"054-086-016",-58.4859253923616,-34.6395669234457,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-090-029",-58.4843307100091,-34.6391946464131,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-090-038",-58.483238943162,-34.638890372036,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-090-049",-58.4840022713953,-34.6383088446962,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-094-007",-58.4852920599141,-34.6367505735293,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"054-095-001",-58.4849188530412,-34.6348021619607,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-095-003A",-58.4851360074192,-34.6349639068617,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-095-012",-58.4863308129602,-34.6352967273307,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"054-095-020",-58.4867598332635,-34.6355703731389,"HOTELERIA Y GASTRONOMIA","HOTELERIA"
"054-121-001A",-58.4833433380929,-34.634439937276,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"054-121-002",-58.4834571931914,-34.6345026940877,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-064-008",-58.5149547360867,-34.6274930311357,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-108A-001",-58.5112941843507,-34.6248210501742,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-108B-001A",-58.5116609708642,-34.6244790146396,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-063B-019",-58.5130927470456,-34.6292214128433,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-045-012",-58.5108207037754,-34.6325398956671,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-104-034",-58.5067500890134,-34.6282795788762,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-105-001",-58.5083225949559,-34.6270687957956,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-105-033",-58.507575048854,-34.6276222536886,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-101-001",-58.5034811294382,-34.6307102818674,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-101-013",-58.504362661036,-34.6300267152414,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-102-001",-58.5053037236186,-34.6292427065435,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-099-001",-58.502074360005,-34.631659476394,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-100A-001A",-58.5022935378938,-34.6314527074495,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"091-055-008",-58.506290039901,-34.6344744830244,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"095-042-024",-58.5049668508209,-34.6379534935789,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"095-042-026",-58.5047480348861,-34.6379516103921,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"095-051-010",-58.5045369947428,-34.6374121510752,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"095-051-014",-58.5041882059641,-34.6375720490979,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"095-051-019G",-58.5036043694885,-34.6378299987976,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-004-016",-58.4999092663857,-34.633134605148,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"077-016-001A",-58.4969727299613,-34.634331865845,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"095-061-036",-58.5001379404395,-34.6350467689256,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
